source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,distance_pc
1495713771471104,42.344198024687465,2.290798870593586,18.096820858739108,823.04285,12.84212,2.263671,55.25832453146551
2183668748454272,44.753144162297325,3.972805271056011,18.4049661406121,697.2898,14.311949,2.4991455,54.33316162388456
3656185400409472,46.965442292724205,5.236057560954023,19.26449594991115,388.73822,15.8627825,3.269577,51.90896261184618
6347480627407104,42.93549758313432,5.651868741405756,17.65010860086165,1014.52515,11.13514,1.6218061,56.656875184959574
6397856299125120,43.34394291915119,6.132224590694776,22.17835488952036,451.88208,15.695479,3.3176918,45.089007051308236
7001556902355840,45.34469797281789,6.248737784062177,18.13942586680804,26.433987,8.649566,0.90651035,55.128536445567676
8367803179074816,44.03148520734543,7.92234863553417,21.351428366836643,1468.7439,9.622882,1.1935358,46.83527410059436
12688815156948736,51.07642600615255,9.267276561254272,29.839441889691937,1241.601,13.65822,2.7621899,33.51269114538804
13555539556582272,48.40155362212096,7.707329544787526,25.191559293253015,954.61395,11.170823,1.8225956,39.695835750343065
13763823995465472,48.53495140711937,8.562540069754704,18.927686332147168,835.67554,12.154931,2.196433,52.83265912440548
18161561269840768,39.96525296378306,5.580422957668343,19.59120726140017,1200.866,11.721183,1.9062414,51.04330665574974
20284310200430464,42.01088294765116,7.395464724794982,21.55432858988285,60.410114,18.964172,3.3802166,46.394393396664604
22338438439701760,41.09502710372534,10.959491290481514,21.347276738553195,716.14496,13.606798,3.2390823,46.84438264642906
33727794061085696,41.68108375777005,16.31802490146974,17.328698409766446,104.05816,17.775896,4.099703,57.707738709123156
34510337101477248,47.24805327979431,16.834437862895808,21.29457032043643,283.3584,15.652773,3.4629936,46.96032767753471
35395070299880576,43.96733143375685,17.84693345249958,21.914351030127367,26.871403,20.493586,2.4925137,45.632197760509634
35590199254428928,44.78383484467327,17.803926215916622,31.442308620246383,331.05615,16.39537,4.1530333,31.80428040694437
36502278510879616,56.846586160649466,11.478190723222005,20.48484319041311,757.6749,10.674912,1.5058374,48.81658066428349
36745992135453952,58.43372817821624,11.683692179720722,21.074332018258414,13.694978,19.524387,3.01787,47.45108880004445
36819384536253056,58.15130299944611,12.07564310124806,23.59519091701341,98.91104,15.796514,3.6690474,42.38151763709383
36995924872102016,57.134314785832736,12.43468336948219,35.85096109592,707.7849,15.593134,3.6223536,27.893255004363176
37520769874997376,53.91262016035234,12.0381122622461,16.666864784513066,990.97577,10.195127,1.1755161,59.99928678423101
39496867148963840,57.23510605286923,13.826632748631228,21.89612240489779,1412.8636,13.220195,2.5074987,45.67018678048297
39527339939738112,57.75362515958014,14.227416751114406,24.979316098298924,570.2975,12.493373,2.9423046,40.03312164611662
42212248550903552,51.82261640924995,15.519362651480806,17.329333526523804,969.8486,13.368885,2.4131804,57.70562373154324
42775954420319232,53.47836114615831,16.690888212022003,17.959317223431274,293.42538,14.122956,2.7983294,55.681404117931265
43732323377309696,56.56199338847901,17.152282882687405,18.54487572884597,1024.9436,10.790469,1.5094423,53.923251609852066
44894472808190720,55.48193979938311,18.759809245175813,24.25605181584388,1091.9635,12.231873,2.311596,41.22682485971634
47279347888305664,61.84162262666359,19.193561848764823,18.768313405446424,298.10196,14.614426,2.7063828,53.28129269781948
48522895539002624,63.28838878707487,18.99360656104884,16.762764559639255,247.82309,16.272144,0.024860382,59.656030867829635
48977371798954368,64.76349608728894,19.54416507668267,23.15525128761623,1036.2178,13.95013,2.952489,43.18674790347944
50327361624037120,60.91239484352838,19.455837610969265,20.857863349249136,269.77988,14.791902,2.8605003,47.94354931067276
50756415973201152,57.27308195699206,18.83772334741152,16.516166377059392,596.5507,14.242717,2.7988882,60.54673809710339
51902691204229888,61.76434252937062,20.280598237539508,30.292770181983904,945.785,14.657313,3.1981869,33.01117705619186
56055649700514688,50.23448043364822,18.091959280072256,32.36682893595538,1411.9802,14.075871,2.9576693,30.89582862685472
57142860543383936,54.21316608169534,18.990511047479224,22.342288715891044,541.75604,15.485751,3.1636276,44.75817194541694
57866609775353728,51.7287404779253,19.797536677851927,31.35040099887194,1051.2458,12.846782,2.6325855,31.897518632568122
60460465080107392,48.25848892028184,20.729631633592096,23.221313264874908,1032.2068,8.480249,0.8363366,43.063886550836166
62072795805229440,49.966677376063686,21.641093085253924,16.72139257091272,127.28095,14.349433,3.0624485,59.803631531235325
63879740086051072,58.2695756021381,22.30451713182254,18.178003753870417,733.2949,14.337454,2.5826063,55.011541065783
66101646928253312,60.602483576518544,24.68946213558827,33.117104657795046,1081.1349,11.892882,2.3568249,30.19587643102193
67351757289092224,58.17156507411793,25.804208580824763,22.51406756986467,1378.0024,10.5717125,1.6229076,44.41667401489507
67696694700442624,54.13100332615401,22.782286636889808,25.792730125826846,1003.33875,12.968981,2.7551765,38.77061463139481
72159852914863232,33.260655867772115,10.32558373839231,18.591548783619324,209.73204,16.831398,3.6174374,53.78788026961379
72945213454830592,34.74479851315343,11.945435242819451,25.02382310939368,1045.7655,13.234728,2.7921991,39.96191931298502
76173444017933184,37.196440532336624,15.648214307435746,28.43851787358967,673.59485,11.544299,2.2581205,35.16357654238661
77631950487658368,32.052951540160656,15.145677999960954,38.16168517137689,1815.696,13.195544,3.0644207,26.20429353444927
79970302482305664,32.284364030855215,16.162679698664167,20.479780704640905,1154.384,11.026518,1.7339182,48.828647846477715
80824382498943744,33.253776132863855,18.061699808370527,36.77961709039075,1478.7257,13.454219,3.0260868,27.188972564406214
83583568273694080,42.81202479051264,18.52484680916196,17.1742630731943,26.290892,13.172795,2.416689,58.22666135589866
84625634714435968,41.86480869932558,19.37111881367146,30.18802732765628,1299.4551,7.192943,0.7786794,33.125715342249805
85787470611883008,36.85299944390921,18.122950901712738,26.726000698594387,348.0627,15.50081,0.3052721,37.41674675824556
85973326732317056,35.67475445361969,18.411034687298933,28.65069683164393,1195.5259,8.571485,1.10113,34.90316503909694
87046965477073920,34.11712584322067,19.226664657389662,20.41854949021384,520.8165,14.038434,2.7070656,48.97507535877011
89308798334436096,37.09239378590695,21.99592583001865,23.61921203798047,59.19805,10.760443,2.008419,42.33841494762683
90324059883593216,28.67117207580501,15.857032281036355,19.10256862792907,760.68225,14.144996,2.8382082,52.34898088720601
91499369094197632,25.946290294093867,16.608982616364163,18.71047892289028,134.84254,17.36195,3.826517,53.44598629042073
91575682073264896,25.486197023643665,17.057702420302117,23.5663534721126,1101.9398,9.943638,1.3556004,42.43337863803819
93316174620198656,32.37854720265497,19.687786617046324,28.353482241633493,395.67572,16.608088,4.060604,35.26903649709829
94546596851142400,30.871236671969736,21.57125031832081,40.47082546521607,743.07874,15.24001,3.7235727,24.709157485791376
97334889619799168,27.85070481391559,21.39275062405243,59.114698701370486,1464.7654,12.493827,2.896985,16.916266545680905
99433371985274240,32.809712211916526,20.537192088101943,17.631302176840567,291.2218,16.163067,3.3254232,56.717308226589225
101137477569696896,32.5235896342997,23.166349336254395,17.19483679452844,58.58094,18.789776,3.8639717,58.156992819973105
102376253512512640,38.21697180160157,25.36014448612242,21.70779143379573,1196.6606,13.366763,2.5543528,46.06640906099513
105430868613160832,31.471431363645145,25.52864082747145,16.757553986562602,66.98623,19.010195,1.2638149,59.674580240163394
107175484328716160,32.79776793623648,27.12761368621376,32.55515030698815,1097.6127,14.52348,3.075636,30.717105913203053
108251425176091136,45.528461087286885,20.4617463588352,17.15633007256621,501.54984,15.053674,2.947483,58.28752395006947
108759738849783424,46.332179850521634,21.52281420934559,27.47556275156893,59.620266,12.827303,2.6495953,36.39597882095781
110835311863083520,47.39524073234208,23.76296974412954,20.69461189379565,368.71185,16.647024,0.22842407,48.32175665491969
116037371954842240,43.91308317587121,26.87135846439827,44.50529072492505,1787.2465,9.261382,1.737998,22.469238684019047
116037376250217984,43.90045918760501,26.87156938081576,44.52187417535088,1945.6884,12.485227,2.8291464,22.460869370895455
116682308540804224,45.87598323735228,28.26984940848754,19.0327370474273,96.58092,6.306081,0.4240985,52.541050586057054
119219294181874048,50.63272559170957,28.97454279147444,20.77346864519992,772.5267,13.823402,2.8646517,48.138325721114846
119675003095684608,53.34467073917841,28.67629281384203,16.568930418621253,697.9781,13.872398,2.976819,60.353925976786904
120682194402577280,53.05303272242697,30.29549831333612,16.78214642578133,677.3396,12.922984,2.2596378,59.58713353041446
123287998304382080,47.79931133713248,30.127176661118565,18.219642310113635,824.1521,11.254113,1.7009449,54.88581954459693
124782994817092736,50.75744511692584,32.735559100819344,22.46401515923145,1057.1421,13.825144,2.6896286,44.515639475477116
125343608307015296,48.2659766387684,32.89703250878096,25.462038547081168,879.92053,12.847094,2.6675987,39.27415309465214
126144258931133440,39.74126925891593,25.221687293867063,30.39773521350895,281.13766,17.014189,3.8286152,32.8971876679679
129070265532645888,44.44542807058347,29.661262280919345,24.185425595546004,985.52814,8.682147,1.0253363,41.347215332202396
129338683808717312,43.60527766529331,30.097090581365705,21.306769294431056,524.19543,15.06027,2.9200678,46.933441019674895
131471770725205632,37.04150283266956,29.66894665247706,20.410537048171843,216.75632,5.2212815,0.40267086,48.99430121019619
132254107607795072,34.72371460800991,30.839215645739507,17.0912970504218,1106.2256,12.042934,2.0298328,58.50931015064891
132255104040175104,34.638231699685846,30.865691726392875,16.713957096333864,1061.4799,10.172159,1.2557459,59.83023614553527
132592688469662208,35.67053381378208,30.920824873876683,22.26067141886825,741.14954,12.8186655,2.7417126,44.922274857909066
