source_id,abs_mag,bp_rp,spectral_type,distance_pc,estimated_mass,is_sun_like
1495713771471104,9.130131436562827,2.263671,M,55.25832453146551,0.3647429080380329,False
2183668748454272,10.636624114086247,2.4991455,M,54.33316162388456,0.2578324578157644,False
3656185400409472,12.286570751526833,3.269577,M,51.90896261184618,0.17633678761653457,False
6347480627407104,7.368876909698482,1.6218061,M,56.65687518495957,0.5471574401152415,False
6397856299125120,12.425125643037552,3.3176918,M,45.08900705130824,0.17079983063074014,False
7001556902355840,4.942683685168591,0.90651035,G,55.12853644556768,0.9566027642170734,True
8367803179074816,6.27001666872216,1.1935358,K,46.83527410059436,0.7046903642792168,False
12688815156948736,11.032173479644271,2.7621899,M,33.51269114538804,0.23538709656670456,False
13555539556582272,8.177098250252927,1.8225956,M,39.695835750343065,0.45424502025716956,False
13763823995465472,8.540418651279172,2.196433,M,52.83265912440548,0.4177900905681058,False
18161561269840768,8.181488995902573,1.9062414,M,51.04330665574974,0.45378600763877214,False
20284310200430464,15.631844496364662,3.3802166,M,46.39439339666461,0.08162356334935801,False
22338438439701760,10.253510400820675,3.2390823,M,46.84438264642906,0.28161057537442197,False
33727794061085696,13.969725716430242,4.099703,M,57.70773870912316,0.11968161151896733,False
34510337101477248,12.294117406752735,3.4629936,M,46.96032767753471,0.1760306365019867,False
35395070299880576,17.197229070088422,2.4925137,M,45.632197760509634,0.05692159919975247,False
35590199254428928,13.882942130892939,4.1530333,M,31.80428040694437,0.12209722314648332,False
36502278510879616,7.232075219088239,1.5058374,K,48.81658066428349,0.5646670915909137,False
36745992135453952,16.143156089584274,3.01787,M,47.45108880004445,0.07255784759555191,False
36819384536253056,12.660631478615223,3.6690474,M,42.38151763709383,0.16178447805301285,False
36995924872102016,13.365638013834959,3.6223536,M,27.893255004363176,0.1375422734671738,False
37520769874997376,6.304396560374602,1.1755161,K,59.99928678423101,0.6991338726435713,False
39496867148963840,9.922031061127774,2.5074987,M,45.67018678048297,0.3039463230180906,False
39527339939738112,9.481275718869357,2.9423046,M,40.03312164611662,0.33641273525916293,False
42212248550903552,9.562794301936894,2.4131804,M,57.70562373154324,0.33015704574455934,False
42775954420319232,10.394405108278711,2.7983294,M,55.68140411793127,0.2726211146705536,False
43732323377309696,7.131588637107916,1.5094423,K,53.92325160985207,0.5778846201552502,False
44894472808190720,9.155973558470022,2.311596,M,41.22682485971634,0.3625789977558329,False
47279347888305664,10.981552234811966,2.7063828,M,53.28129269781948,0.23814681441404464,False
48522895539002624,12.393872226001417,0.024860382,A,59.65603086782964,0.17203340188198257,False
48977371798954368,10.77337749223646,2.952489,M,43.18674790347944,0.24984016082140043,False
50327361624037120,11.388251089206765,2.8605003,M,47.94354931067276,0.21685772185043475,False
50756415973201152,10.33226324564243,2.7988882,M,60.54673809710339,0.276550008042895,False
51902691204229888,12.064007950312188,3.1981869,M,33.01117705619186,0.1856090743890428,False
56055649700514688,11.626371762524618,2.9576693,M,30.89582862685472,0.20528765024813275,False
57142860543383936,12.231389298188356,3.1636276,M,44.75817194541694,0.17859161729324596,False
57866609775353728,10.327997501030415,2.6325855,M,31.89751863256812,0.27682177554315746,False
60460465080107392,5.309682886564984,0.8363366,G,43.063886550836166,0.8790867036991316,True
62072795805229440,10.465795215000282,3.0624485,M,59.803631531235325,0.26817635182853133,False
63879740086051072,10.635184943857665,2.5826063,M,55.011541065783,0.25791791280113835,False
66101646928253312,9.493143802685559,2.3568249,M,30.19587643102193,0.33549466598537847,False
67351757289092224,7.333982325860072,1.6229076,M,44.41667401489507,0.5515714359429963,False
67696694700442624,10.026467570291867,2.7551765,M,38.77061463139481,0.29672438813513896,False
72159852914863232,13.177975852614697,3.6174374,M,53.78788026961379,0.14361586381297226,False
72945213454830592,10.226496307057468,2.7921991,M,39.96191931298502,0.2833677157430675,False
76173444017933184,8.813833792902134,2.2581205,M,35.16357654238661,0.39229847574972926,False
77631950487658368,11.103681721731407,3.0644207,M,26.20429353444927,0.2315430916343654,False
79970302482305664,7.583144509743022,1.7339182,M,48.82864784647772,0.5208174765937116,False
80824382498943744,11.282255017604909,3.0260868,M,27.18897256440621,0.22221557655693117,False
83583568273694080,9.34718555540859,2.416689,M,58.22666135589866,0.34696162602972996,False
